ID,Greek,Declension,Article,English,Note,Transliteration,Type,Frequency,Tag
443,συνείδησις,-εως,ἡ,conscience,,syneidēsis,Noun,30,30 - 31
444,φαίνω,,,"I shine, appear",phantom; phenomenon,phainō,Verb,31,30 - 31
445,φεύγω,,,I flee,cf. fugitive,pheugō,Verb,30,30 - 31
446,φυλή,-ῆς,ἡ,a tribe,"in zoology, phylum, one of the large fundamental divisions of the animal kingdom",phylē,Noun,31,30 - 31
447,ἀληθινός,"-ή, -όν",,true,,alēthinos,Adjective,28,28 - 29
448,γαμέω,,,I marry,"in biology, gamete, a matured germ cell",gameō,Verb,28,28 - 29
449,γνῶσις,-εως,ἡ,wisdom,gnosis; Gnostic,gnōsis,Noun,29,28 - 29
450,διάκονος,"-ου, ὁ ",,"and ἡ, a servant, administrator, deacon",deacon,diakonos,Noun,29,28 - 29
451,ἐνδύω,,,"I put on, clothe",,endyō,Verb,28,28 - 29
452,ἐπεί,,,"when, since",,epei,Conjunction,28,28 - 29
453,ἡγέομαι,,,"I am chief; I think, regard",,hēgeomai,Verb,28,28 - 29
454,θυσία,-ας,ἡ,a sacrifice,,thysia,Noun,28,28 - 29
455,ἴδε,,,see! behold!,,ide,Verb,29,28 - 29
456,ἰσχυρός,"-ά, -όν",,strong,,ischyros,Adjective,29,28 - 29
457,ἰσχύω,,,"I am strong, able",,ischyō,Verb,28,28 - 29
458,κρίμα,-ατος,τό,judgment,cf. crisis,krima,Noun,28,28 - 29
459,μάχαιρα,-ης,ἡ,a sword,,machaira,Noun,29,28 - 29
460,μισθός,-οῦ,ὁ,"wages, reward",,misthos,Noun,29,28 - 29
461,μυστήριον,-ου,τό,a mystery,mystery,mystērion,Noun,28,28 - 29
462,οὔπω,,,not yet,,oupō,Adverb,28,28 - 29
463,παράκλησις,-εως,ἡ,"an exhortation, consolation","cf. Paraclete, the Comforter, Helper, Advocate, or Counselor",paraklēsis,Noun,29,28 - 29
464,πάσχα,,,"indeclinable, τό, a passover",paschal,pascha,Noun,29,28 - 29
465,πλούσιος,"-α, -ον",,rich,cf. plutocratic,plousios,Adjective,28,28 - 29
466,πόθεν,,,whence?,,pothen,Adverb,29,28 - 29
467,ποτέ,,,"at some time, once, ever",,pote,Particle,29,28 - 29
468,προσκαλέομαι,,,I summon,,proskaleomai,Verb,29,28 - 29
469,προφητεύω,,,I prophesy,cf. prophet,prophēteuō,Verb,28,28 - 29
470,τελέω,,,"I finish, fulfill","cf. teleology, in philosophy, the view that developments are due to the purpose or design [τέλος] that is served by them",teleō,Verb,28,28 - 29
471,φίλος,"-η, -ον",,"loving; as a noun, a friend",bibliophile,philos,Adjective,29,28 - 29
472,ἁγιάζω,,,I sanctify,"cf. hagiolatry, the worship of saints",hagiazō,Verb,27,26 - 27
473,ἀδελφή,-ῆς,ἡ,a sister,,adelphē,Noun,26,26 - 27
474,ἀδικία,-ας,ἡ,unrighteousness,,adikia,Noun,26,26 - 27
475,ἀληθής,-ές,,true,,alēthēs,Adjective,26,26 - 27
476,ἀποκαλύπτω,,,I reveal,apocalypse,apokalyptō,Verb,26,26 - 27
477,βαστάζω,,,"I bear, carry",,bastazō,Verb,27,26 - 27
478,ἐκεῖθεν,,,"thence, from that place",,ekeithen,Adverb,27,26 - 27
479,ἔλεος,-ους,τό,"pity, mercy",cf. eleemosynary; alms,eleos,Noun,27,26 - 27
480,ἑορτή,-ῆς,ἡ,a feast,,heortē,Noun,26,26 - 27
481,ἥκω,,,I have come,,hēkō,Verb,26,26 - 27
482,θυγάτηρ,-τρός,ἡ,a daughter,,thygatēr,Noun,27,26 - 27
483,ἰάομαι,,,I heal,"cf. pediatrics, medical care of children [παῖς, παιδός]",iaomai,Verb,26,26 - 27
484,καταργέω,,,"I bring to naught, abolish",,katargeō,Verb,27,26 - 27
485,κελεύω,,,I order,,keleuō,Verb,26,26 - 27
486,κώμη,-ης,ἡ,a village,,kōmē,Noun,27,26 - 27
487,λυπέω,,,I grieve,,lypeō,Verb,26,26 - 27
488,νικάω,,,I conquer,"cf. Nicholas, victor over the people [λαός]",nikaō,Verb,27,26 - 27
